商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家编码-规格维度,商家编码-商品维度,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-626062794280125,已发货，待收货,168.99	,0.0	,0.0	,42.24	,0.0	,126.75	,168.99	,1	,2026-06-07 08:14:45,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000202819,快捷快物流,2026-06-06 22:03:25,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-041198558871437,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-07 08:14:45,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000202821,快捷快物流,2026-06-06 21:36:28,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-257928804673481,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-07 08:14:46,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000202822,快捷快物流,2026-06-06 20:08:03,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-203738324532549,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-07 08:14:46,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000202823,快捷快物流,2026-06-06 19:31:29,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-112847829341725,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-07 08:14:46,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000202824,快捷快物流,2026-06-06 18:50:38,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-582148441730445,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-07 08:14:46,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000202826,快捷快物流,2026-06-06 18:28:25,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-621763663443330,已发货，待收货,168.99	,0.0	,0.0	,33.79	,0.0	,135.2	,168.99	,1	,2026-06-07 08:14:47,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000202827,快捷快物流,2026-06-06 18:17:27,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-256355878481241,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-07 08:14:47,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000202828,快捷快物流,2026-06-06 18:02:38,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-524770404732223,已发货，待收货,168.99	,0.0	,0.0	,15.0	,0.0	,153.99	,168.99	,1	,2026-06-07 08:14:47,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000202831,快捷快物流,2026-06-06 16:25:39,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-486245743012165,已发货，待收货,168.99	,0.0	,0.0	,16.89	,0.0	,152.1	,168.99	,1	,2026-06-07 08:14:48,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000202832,快捷快物流,2026-06-06 16:25:04,否,,	,
